종목,시세,등락률,시가총액(억),거래량(백만)
LIG넥스원079550,"127,700",0.39%,"28,094","240,200"
,500500,,,
F&F383220,"68,600",1.03%,"26,279","79,514"
,700700,,,
한전기술052690,"67,300",-1.90%,"25,722","125,410"
,"13,001,300",,,
BNK금융지주138930,"7,890",2.20%,"25,413","949,145"
,170170,,,
현대미포조선010620,"63,000",0.96%,"25,164","205,573"
,600600,,,
한국가스공사036460,"27,150",2.84%,"25,063","312,799"
,750750,,,
씨에스윈드112610,"59,300",0.17%,"25,008","170,095"
,100100,,,
아모레G002790,"29,650",-0.34%,"24,449","127,069"
,100100,,,
휠라홀딩스081660,"39,950",0.25%,"24,271","107,374"
,100100,,,
JB금융지주175330,"12,280",4.07%,"24,189","303,099"
,480480,,,
호텔신라008770,"60,700",2.36%,"23,824","227,482"
,"14,001,400",,,
팬오션028670,"4,445",4.83%,"23,762","10,665,716"
,205205,,,
KCC002380,"266,000",4.52%,"23,638","75,848"
,"1,150,011,500",,,
GS리테일007070,"22,550",0.22%,"23,614","131,298"
,5050,,,
롯데쇼핑023530,"82,900",3.50%,"23,451","97,193"
,"28,002,800",,,
BGF리테일282330,"132,100",-0.08%,"22,832","45,485"
,100100,,,
에스원012750,"59,700",0.84%,"22,686","19,707"
,500500,,,
농심004370,"365,000",0.27%,"22,202","29,814"
,"10,001,000",,,
한화000880,"29,550",2.60%,"22,150","475,446"
,750750,,,
DB하이텍000990,"49,750",1.43%,"22,088","227,937"
,700700,,,
영원무역111770,"49,150",-1.01%,"21,779","70,691"
,500500,,,
이마트139480,"77,000",1.58%,"21,464","189,198"
,"12,001,200",,,
제일기획030000,"18,370",-0.43%,"21,133","256,179"
,8080,,,
OCI홀딩스010060,"106,000",2.81%,"21,001","151,587"
,"29,002,900",,,
LS ELECTRIC010120,"68,500",0.15%,"20,550","121,802"
,100100,,,
한솔케미칼014680,"178,400",-2.03%,"20,222","118,610"
,"37,003,700",,,
금호타이어073240,"6,780",4.47%,"19,476","600,577"
,290290,,,
한올바이오파마009420,"34,800",-1.14%,"18,180","292,761"
,400400,,,
신세계004170,"184,400",1.10%,"18,155","44,436"
,"20,002,000",,,
동서026960,"18,000",0.06%,"17,946","37,411"
,1010,,,
TCC스틸002710,"65,700",15.87%,"17,222","2,436,419"
,"90,009,000",,,
대우건설047040,"4,040",2.80%,"16,791","1,585,171"
,110110,,,
한국앤컴퍼니000240,"17,580",0.17%,"16,690","124,993"
,3030,,,
현대엘리베이017800,"42,500",2.29%,"16,614","68,993"
,950950,,,
현대위아011210,"60,900",1.50%,"16,562","113,356"
,900900,,,
롯데에너지머티리얼즈020150,"35,600",0.71%,"16,415","98,874"
,250250,,,
오뚜기007310,"406,000",1.00%,"16,272","2,490"
,"40,004,000",,,
한전KPS051600,"36,000",0.14%,"16,200","164,477"
,5050,,,
HL만도204320,"34,300",3.00%,"16,106","293,205"
,"10,001,000",,,
HD현대인프라코어042670,"7,990",3.77%,"15,948","2,789,011"
,290290,,,
SK네트웍스001740,"6,740",0.15%,"15,891","3,374,913"
,1010,,,
에스엘005850,"34,050",0.89%,"15,816","174,022"
,300300,,,
DGB금융지주139130,"9,350",1.74%,"15,815","505,754"
,160160,,,
에스디바이오센서137310,"12,510",3.47%,"15,572","304,037"
,420420,,,
KG모빌리티003620,"8,230",2.36%,"15,386","267,458"
,190190,,,
두산000150,"92,600",-1.07%,"15,301","51,470"
,"10,001,000",,,
DL이앤씨375500,"38,700",2.52%,"14,974","135,349"
,950950,,,
효성첨단소재298050,"333,500",1.21%,"14,941","16,363"
,"40,004,000",,,
하이트진로000080,"21,050",0.96%,"14,763","98,381"
,200200,,,
삼아알미늄006110,"99,500",6.42%,"14,638","151,135"
,"60,006,000",,,
종근당185750,"111,100",-0.80%,"14,637","27,160"
,900900,,,
두산퓨얼셀336260,"21,300",2.16%,"13,950","175,343"
,450450,,,
삼양식품003230,"183,800",3.61%,"13,846","111,026"
,"64,006,400",,,
대웅제약069620,"117,300",-0.26%,"13,591","22,317"
,300300,,,
녹십자006280,"115,800",1.58%,"13,533","16,674"
,"18,001,800",,,
대웅003090,"23,200",-2.11%,"13,489","85,316"
,500500,,,
효성티앤씨298020,"306,000",1.66%,"13,243","14,642"
,"50,005,000",,,
GS건설006360,"15,330",2.68%,"13,120","433,608"
,400400,,,
효성004800,"62,100",1.64%,"13,085","19,292"
,"10,001,000",,,
덴티움145720,"117,700",6.52%,"13,028","119,656"
,"72,007,200",,,
코스맥스192820,"114,100",-2.06%,"12,950","93,122"
,"24,002,400",,,
코스모화학005420,"33,650",2.44%,"12,924","516,120"
,800800,,,
현대백화점069960,"55,000",4.17%,"12,871","107,242"
,"22,002,200",,,
롯데정밀화학004000,"49,750",2.37%,"12,836","75,990"
,"11,501,150",,,
대한전선001440,"9,930",0.10%,"12,358","516,696"
,1010,,,
SK케미칼285130,"70,100",6.05%,"12,095","86,962"
,"40,004,000",,,
영원무역홀딩스009970,"88,600",-0.45%,"12,081","19,924"
,400400,,,
롯데웰푸드280360,"127,800",2.98%,"12,057","6,906"
,"37,003,700",,,
롯데칠성005300,"127,600",0.47%,"11,840","25,349"
,600600,,,
한샘009240,"50,300",2.03%,"11,838","10,177"
,"10,001,000",,,
세방전지004490,"82,400",4.44%,"11,536","194,462"
,"35,003,500",,,
코오롱인더120110,"41,100",1.23%,"11,310","71,349"
,500500,,,
율촌화학008730,"45,250",12.56%,"11,222","817,286"
,"50,505,050",,,
한국콜마161890,"48,650",0.83%,"11,132","101,968"
,400400,,,
DL000210,"51,700",3.82%,"10,834","61,714"
,"19,001,900",,,
LX인터내셔널001120,"27,950",2.57%,"10,833","204,923"
,700700,,,
풍산103140,"38,450",0.26%,"10,775","105,434"
,100100,,,
더블유게임즈192080,"47,100",2.39%,"10,125","182,926"
,"11,001,100",,,
동원시스템즈014820,"34,700",7.26%,"10,060","145,590"
,"23,502,350",,,
대한유화006650,"150,900",10.63%,"9,809","64,688"
,"1,450,014,500",,,
하나투어039130,"60,100",-0.17%,"9,640","116,034"
,100100,,,
영풍000670,"518,000",1.77%,"9,542","1,107"
,"90,009,000",,,
아시아나항공020560,"12,760",1.03%,"9,495","481,028"
,130130,,,
