"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","27,950","27,450","28,150","27,300","204.92K","2.57%"
"2024- 02- 15","27,250","27,600","27,650","27,150","152.27K","-0.37%"
"2024- 02- 14","27,350","27,650","27,750","27,250","0.10K","-1.62%"
"2024- 02- 13","27,800","28,250","28,350","27,800","207.19K","-0.71%"
"2024- 02- 12","28,000","28,000","28,000","28,000","","0.00%"
"2024- 02- 08","28,000","28,250","28,400","28,000","218.99K","-0.88%"
"2024- 02- 07","28,250","27,700","28,400","27,650","267.61K","2.54%"
"2024- 02- 06","27,550","27,950","28,300","27,450","269.41K","-2.30%"
"2024- 02- 05","28,200","28,050","28,350","27,550","373.82K","-0.70%"
"2024- 02- 04","28,400","28,400","28,400","28,400","","0.00%"
"2024- 02- 02","28,400","29,300","29,300","28,150","730.91K","-2.91%"
"2024- 02- 01","29,250","28,150","29,400","28,100","0.21K","3.72%"
"2024- 01- 31","28,200","28,300","28,500","27,850","0.01K","-0.18%"
"2024- 01- 30","28,250","28,100","28,550","27,850","0.01K","2.17%"
"2024- 01- 29","27,650","26,850","27,900","26,800","262.16K","3.17%"
"2024- 01- 26","26,800","26,650","27,200","26,600","135.78K","-0.19%"
"2024- 01- 25","26,850","26,600","27,050","26,450","0.10K","0.94%"
"2024- 01- 24","26,600","26,850","26,950","26,550","88.52K","-0.93%"
"2024- 01- 23","26,850","26,900","27,150","26,750","93.39K","-0.19%"
"2024- 01- 22","26,900","26,950","27,150","26,550","158.06K","0.37%"
"2024- 01- 19","26,800","27,200","27,500","26,800","186.48K","-1.29%"
"2024- 01- 18","27,150","27,450","27,450","26,700","178.26K","-0.37%"
"2024- 01- 17","27,250","28,000","28,200","26,800","0.00K","-2.15%"
"2024- 01- 16","27,850","26,600","27,950","26,300","366.75K","4.50%"
"2024- 01- 15","26,650","26,500","26,750","26,450","76.97K","0.57%"
"2024- 01- 14","26,500","26,500","26,500","26,500","","0.00%"
"2024- 01- 12","26,500","26,750","26,950","26,500","150.10K","-0.75%"
"2024- 01- 11","26,700","27,150","27,200","26,600","0.07K","0.00%"
"2024- 01- 10","26,700","27,150","27,200","26,600","206.17K","-1.29%"
"2024- 01- 09","27,050","27,300","27,400","26,950","237.07K","-0.18%"
"2024- 01- 08","27,100","27,500","27,650","27,050","0.20K","-0.73%"
"2024- 01- 07","27,300","27,300","27,300","27,300","","0.00%"
"2024- 01- 05","27,300","27,900","27,950","27,050","335.60K","-1.97%"
"2024- 01- 04","27,850","28,250","28,350","27,800","223.93K","-1.94%"
"2024- 01- 03","28,400","28,550","28,950","28,300","0.12K","-0.53%"
"2024- 01- 02","28,550","29,400","29,400","28,350","0.12K","-2.89%"
"2023- 12- 28","29,400","29,400","29,550","29,000","334.83K","-0.34%"
"2023- 12- 27","29,500","30,700","30,700","29,300","0.00K","-7.52%"
"2023- 12- 26","31,900","31,950","32,300","31,600","1.01K","0.79%"
"2023- 12- 25","31,650","31,650","31,650","31,650","","0.00%"
"2023- 12- 22","31,650","30,950","31,800","30,700","581.55K","2.93%"
"2023- 12- 21","30,750","30,300","31,000","30,100","424.28K","1.15%"
"2023- 12- 20","30,400","30,350","30,450","30,150","0.05K","0.83%"
"2023- 12- 19","30,150","30,700","30,900","30,150","276.60K","-0.66%"
